Gene_ID	TCGA-09-1664	TCGA-13-1484	TCGA-13-1488	TCGA-13-1489	TCGA-13-1494	TCGA-13-1495	TCGA-13-1499	TCGA-13-2071	TCGA-23-1123	TCGA-23-1124	TCGA-24-1103	TCGA-24-1104	TCGA-24-1105	TCGA-24-1428	TCGA-24-1430	TCGA-24-1435	TCGA-24-1466	TCGA-24-1467	TCGA-24-1545	TCGA-24-1550	TCGA-24-1551	TCGA-24-1552	TCGA-24-1553	TCGA-24-1555	TCGA-24-1556	TCGA-24-1562	TCGA-24-1563	TCGA-24-1603	TCGA-24-1604	TCGA-24-1923	TCGA-24-2020	TCGA-24-2023	TCGA-24-2024	TCGA-24-2027	TCGA-24-2030	TCGA-24-2260	TCGA-24-2267	TCGA-24-2288	TCGA-24-2289	TCGA-24-2290	TCGA-24-2295	TCGA-25-1316	TCGA-25-1319	TCGA-25-1320	TCGA-25-1321	TCGA-25-1623	TCGA-25-1628	TCGA-25-1630	TCGA-25-1635	TCGA-25-2400	TCGA-25-2404	TCGA-25-2409	TCGA-29-1688	TCGA-29-1693	TCGA-29-1697	TCGA-29-1762	TCGA-29-1763	TCGA-29-1768	TCGA-29-1774	TCGA-29-1775	TCGA-29-1776	TCGA-29-1777	TCGA-29-1785	TCGA-29-2414	TCGA-29-2432	TCGA-30-1866	TCGA-36-1576	TCGA-36-1581	TCGA-36-2529	TCGA-36-2530	TCGA-36-2543	TCGA-42-2588	TCGA-42-2590	TCGA-61-1741	TCGA-61-1900	TCGA-61-1907	TCGA-61-1911	TCGA-61-1914	TCGA-61-1919	TCGA-61-1995	TCGA-61-2008	TCGA-61-2095	TCGA-61-2096	TCGA-61-2612
EHHADH	0.072	1.28	0.531	0.148	-0.619	0.963	-1.123	0.813	2.041	1.705	-0.53	0.483	-0.298	2.229	-0.829	1.101	1.328	0.705	0.251	-2.192	-0.941	0.383	0.336	-1.721	-0.67	-0.421	-0.01	0.176	-0.525	-1.135	1.011	1.312	0.523	0.954	1.38	-0.956	-2.522	-0.565	-0.434	-0.978	-0.75	0.302	0.138	-0.001	0.694	-0.132	1.947	-0.159	-0.337	1.654	0.565	0.06	-0.97	-1.883	-0.273	0.771	-0.419	-0.089	-1.145	0.465	0.721	0.121	0.66	0.653	1.813	-0.331	2.03	0.307	-0.617	-0.87	0.833	-0.978	1.025	0.593	-0.333	0.634	0.055	1.021	-0.973	-1.519	0.762	-0.487	1.134	1.556
EHMT1	-0.413	0.458	0.032	-1.383	-0.518	1.567	-1.676	-1.675	-1.145	-0.13	-0.845	1.045	-0.064	0.311	0.145	1.843	0.38	1.193	-0.757	2.622	1.194	0.1	0.65	0.84	-0.081	-2.116	0.309	-0.149	0.25	1.622	1.779	-0.807	-1.759	-0.856	0.372	2.206	0.125	-2.784	-1.392	1.367	-2.166	-0.934	-0.303	-0.866	-0.219	-1.163	-1.326	-1.126	1.902	-1.945	0.828	0.617	-0.489	0.309	0.62	-0.575	0.032	1.5	2.011	0.115	-1.301	0.688	-2.401	0.116	0.778	-0.933	0.139	-0.322	-0.52	-0.375	-0.744	0.262	-0.665	1.407	-0.264	0.346	0.385	-0.552	0.323	0.097	0.192	0.405	-0.594	-0.871
EHMT2	0.78		-1.372			0.139	0.155			1.169	-1.266		-1.377	0.642	-1.384		1.472	0.333	0.805	-1.461		0.058		0.909	-0.934		-0.485		-0.354	1.406	-0.668		-0.977			1.377	0.035	-0.153		0.897		0.421		0.059	-0.12	1.042		-0.494	-0.388					0.573	-0.999		-1.207			-0.097	-0.044		0.023		-0.73					1.64				0.893	1.081	-1.883	-0.853	-1.584					-1.214	
EI24	-0.38	0.792	-0.897	-2.198	-0.419	2.029	-0.777	-1.677	-0.38	0.581	0.039	0.081	0.643	1.294	-1.292	0.292	0.691	0.611	0.856	-1.99	1.896	-1.08	0.563	-0.676	-2.638	-0.513	-0.405	1.316	0.534	0.796	-0.223	-0.729	-0.693	0.81	-0.12	1.232	-0.303	1.551	0.538	0.999	0.607	1.751	0.856	-0.379	0.195	-0.019	-0.067	0.59	-0.245	-0.264	1.029	-0.699	1.505	0.207	-0.901	-1.354	1.018	-1.112	0.142	-1.981	-1.948	-1.747	-1.194	0.561	-1.114	0.914	-1.652	0.964	-1.146	-0.522	0.726	1.027	0.01	1.538	0.63	-0.416	-0.126	2.06	-0.575	-0.079	-0.005	0.877	-1.175	-0.012
EIF1	2.506	-0.268	-1.917	0.339	1.422	1.876	-0.588	0.269	-0.819	-2.334	1.294	0.871	0.18	-0.149	-0.027	1.012	-1.347	-2.853	-1.029	-0.966	-0.973	-1.987	-0.767	-1.526	-2.502	-1.225	-2.298	-1.047	-0.431	1.145	-2.159	0.894	-1.627	-0.362	-0.494	0.067	0.804	-1.017	-0.162	2.342	-0.391	-2.468	0.319	1.728	0.227	0.186	-1.25	-1.875	1.132	0.087	1.202	0.241	-0.34	1.997	-2.489	-1.634	-0.776	-1.122	-2.248	-0.028	0.661	0.769	-0.296	-0.811	0.914	-2.022	-0.022	-0.639	-0.807	0.531	0.951	1.838	-1.348	-1.932	-0.744	-3.193	-1.266	-0.123	-1.051	1.296	0.489	-0.364	1.607	0.495
EIF1AD	-1.487	-0.196	-1.448	-0.024	-0.129	0.326	0.642	-0.275	-0.825	0.399	1.082	1.479	0.915	0.753	0.148	-1.974	0.574	0.25	0.056	0.728	-2.055	2.161	0.498	0.533	-0.709	0.219	-0.134	-1.337	-0.622	0.47	0.606	0.773	0.252	0.168	0.219	1.992	-0.416	0.535	-0.31	-0.936	0.366	-0.688	-0.237	-2.433	1.114	-1.117	0.518	-1.397	-0.896	-0.113	-0.952	-0.534	0.124	1.361	-1.017	1.656	1.281	-1.41	0.091	-0.919	-0.547	0.045	1.105	-0.113	-0.435	0.304	-0.961	-1.265	-0.337	0.412	-0.354	0.761	-0.3	0.739	-1.589	-0.346	-0.025	0.521	0.289	-1.074	0.592	1.229	0.116	-1.104
EIF1AX	-0.393	0.733	-0.887	-1.249	-1.358	-0.778	-1.781	0.769	0.528	1.542	0.652	-0.626	-0.88	-0.744	-0.701	-2.466	0.385	-1.552	-1.052	-1.776	-0.219	-0.675	-0.601	1.065	1.015	-0.207	-0.887	-0.997	0.256	-0.15	-0.857	0.028	1.1	-1.213	-0.061	0.664	1.253	-0.448	-1.285	0.115	-3.057	-1.318	0.256	2.232	1.352	-0.036	1.769	-1.693	-1.224	0.919	0.462	0.924	-1.283	-0.528	-0.006	-0.37	0.734	-0.96	-0.388	-0.83	-0.087	0.309	1.476	-0.065	-0.339	0.269	-1.03	0.186	-2.14	-0.817	-0.397	-0.387	-0.993	-0.718	-0.19	0.226	2.014	1.087	-0.26	0.965	1.275	0.65	-1.8	-0.378
EIF2A	-1.353	-0.211	0.245	-0.07	-0.575	1.226	-0.186	0.215	0.465	1.061	0.191	0.746	0.061	-0.392	0.818	-0.204	-0.083	0.577	-1.067	1.919	0.868	-0.165	1.018	1.937	-0.367	0.033	1.184	-0.271	1.133	0.832	1.891	-0.699	1.442	-0.6	-0.061	0.819	2.017	1.812	2.199	-2.306	-1.883	0.049	1.677	-2.114	-1.562	-0.556	0.092	0.636	0.022	-2.387	1.481	0.497	-0.621	0.695	-2.156	0.215	0.157	-1.899	1.764	-0.384	1.041	-0.884	0.202	1.44	-0.397	-0.456	0.462	-2.187	0.707	-0.633	-1.365	-1.553	0.455	-0.75	0.208	-0.17	-2.404	-0.059	2.169	-0.345	-0.693	2.064	-1.226	0.413
EIF2AK2	-0.594	-0.496	-0.662	0.785	1.117	-1.843	-0.025	0.914	1.028	2.17	1.591	0.238	0.539	-0.098	-1.136	-1.138	1.518	-0.854	-0.551	-1.516	0.056	0.882	-0.035	0.108	0.761	0.511	1.601	0.656	-0.709	0.874	1.394	0.103	0.414	-1.225	0.182	0.884	1.674	-1.16	0.983	-0.433	-0.145	0.956	-1.547	-2.254	1.299	-0.148	0.65	-0.402	-0.078	-0.034		-1.168	2.366	0.787	-0.071	-1.011	0.046	-1.064	-1.32	0.997	0.216	0.104	1.085	1.262	0.832	-0.497	-0.294	2.268	1.026	-0.586	0.305	-0.339	0.622	-0.678	-0.746	1.174	-0.394	0.55		0.375	-1.1		0.851	-1.519
EIF2AK4	2.495	0.822		-1.487	1.016	-1.216	0.431	-0.8	-0.334	1.063	-0.409	0.245	1.255	1.172	-2	-1.574	-0.539	-2.033	0.65	-0.923	-1.341	-0.55	-0.429	-1.728	2.3	-0.253	-1.541	-0.437	-0.971	-0.74	1.037	-0.104	0.133		1.219	-0.104	-0.783	-0.249	0.969	0.759		1.309	-1.108	-1.719	-1.245		1.994	-1.038	1.716	-0.697	-0.932	1.456	1.092	1.224		-1.478	-0.462		-0.317	1.267	-2.254	1.148	-0.201	2.996	-0.618	2.201	-0.119	-0.266	1.331	0.459	-0.615	0.6	0.421	1.248	1.583	1.216	0.883	-0.404	0.932	-0.275	0.126	-2.016	0.196	2.429
EIF2B1	0.066	0.7	-0.653			0.474	-0.078		0.761		-0.897		-0.735	-0.511	-2.453	-3.309	-2.238	2.168	-0.207	0.111	1.066	-3.564	-0.426	1.618		0.453	2.532		0.654	1.577	2.845		0.61	0.839	0.716			0.578	-2.137	-0.301	-2.477	-0.646	-0.111	-0.348	0.187	2.288		-0.833		-0.349		1.535	-2.865	-1.197	-0.622		0.429	-1.135	0.822	1.086	0.967	-0.076	-0.805	-0.489	-1.087	-0.493	-0.792	0.222		0.215		-1.886		0.024	0.955		-1.153	-0.474		-3.046	-0.04		1.69	
EIF2B2	-2.001	0.661	-0.154	0.019	-0.002	0.109		-0.891	0.196	0.61	1.727	0.479	-0.594	-0.909	-1.453	0.875	0.645	-0.994	0.781	0.36		1.211	0.661	-0.811	-1.695	0.268	-0.341	-0.198	0.133	1.615	1.185	0.141	0.893	-1.1	-0.799	0.284	0.576	-1.326	-1.137	-0.587	0.912	-0.291	-0.309	1.621	1.769	-0.263	-0.531		-0.67	-0.324		-0.607	-0.763	-0.741	-0.325	0.614	-0.247	0.815	-0.282		-0.223		0.768	1.049	1.212	2.091	-1.103	0.107	-1.819	0.053	0.144	-1.2	1.568	1.092	0.253	-0.286	0.49	1.703		0.93			0.787	-0.518
EIF2B3		-2.74		0.013				0.111			-0.476					-0.816			0.228		-0.924					-1.76		-0.353	0.516		2.151	0.488		0.686				-0.671	1.585		0.783		1.358	1.299						-1.611		2.226	-1.734	1.614		-0.839		0.02			0.229	-0.498		-0.184		0.052			0.275	-0.36	-2.363	0.229	0.672							-1.999	-0.267			2.353
EIF2B4	-1.352	0.534	-1.098					1.744	-0.303	-1.644			-0.284	2.272	1.094	-1.211	0.249	-0.454		0.576		2.248	-0.368	-0.844	0.039	-0.475	-1.253		-1.302	0.497	-2.377		1.29	2.87	0.129	0.314	-0.912			1.37	-1.806	0.116		-1.292	0.179	-1.132			-0.054	-0.455	-0.559	0.903	-0.327		-0.64	0.352	0.061	-1.89	-0.068				0.127	-1.227	-0.952	2.525	1.829	-3.022			0.764			-0.645	-0.44	0.262		1.469	-0.335	0.747		-0.857		
EIF2B5	1.806	1.116	-1.328	-1.301	0.392	-0.056	0.484	-0.636	-0.119	0.944	-1.237	-0.191	-0.633	1.193	-0.563	1.875	-0.942	1.448	-0.47	0.37	-0.15	-0.748	-0.626	-0.85	-0.278	0.58	-0.509	-0.295	1.123	1.612	1.19	-0.743	0.155	0.614	-0.057	1.207	1.279	-1.823	-0.084	1.536	0.323	0.415	0.099	0.053	0.121	-2.324	-0.404	0.496	-0.63	1.329	1.469	-0.904	0.561	1.472	-2.013	1.301	0.131	0.018	-0.217	-0.014	2.883	0.408	1.287	0.182	1.662	-0.124	0.366	0.532	0.192	1.775	0.605	-0.616	-0.069	-1.496	0.999	-1.834	-1.466	-1.571	-0.552	-1.559	0.864	0.453	1.144	0.893
EIF2D	1.537	0.286		0.355	-0.59	1.849	-1.362	0.064		-1.112	-1.133	-2.324	0.258	-0.199				-0.993	-1.043	0.456				-0.11	-0.212		-0.285	0.874	0.9	-0.893	-0.754	0.77	0.357	1.057	0.822	1.107	0.216	-1.235	-0.985	-2.034	-1.23	-0.105	-0.453	-0.126	1.54		0.714	-0.062	-0.416	0.689	0.067	0.257		-0.572		0.77	-0.859	1.928	1.347	-0.383	-0.08		-0.484	0.282	-0.78	-0.354	-0.185		-1.793	-0.289	0.817	1.215	-0.709	-0.226	0.939	0.853	-2.007	2.018	-2.385	0.009		-1.173	0.622	1.733
EIF2S1	0.505	-0.551	1.368	-1.425		-2.055	0.08		-0.107	-1.014	1.343		1.508	0.988	1.237	1.478	-1.2	-0.647	-1.797	0.103		-1.273	-0.64	2.081	2.031	0.974	0.259	-0.637	1.625	1.937	0.349	0.727	-1.293	0.316	0.245	-1.261	-2.816	0.503	0.169	-0.684	-0.824	-1.766	-0.065	-0.505	-1.444	0.718		0.594	-0.826	-0.833	-1.778	0.112	0.525	-0.31	-0.338		-1.821	-2.611	0.363	0.248	-0.498		-0.481	-0.473	1.389	-1.191	-1.357	0.305	0.777	-0.575		-0.932	0.7	-0.159	-0.581	-0.08	-0.755	-0.551	-0.695	-0.263		-0.977	-0.468	-0.409
EIF2S2	-1.026			-2.534	-1.499	-1.371		-2.085	0.864	-1.578	1.061	0.321			1.358	0.929	-0.451	0.121	-1.102	-1.155	-0.858	0.602	-0.071	0.659		0.837		-1.69	1.388		-0.182	-1.884		1.42	0.633			-0.55	1.162		1.1	-0.971	-1.114	0.746	-0.134		-0.962		-1.334	0.2		-0.449	1.941	0.495		1.992		0.59	0.927		0.005	0.606			-1.772	-0.256	0.194	1.769	0.798	-0.564	0.227	1.917	-0.577		2.727	1.449	-2.546	-1.778			0.403		-1.027	1.069
EIF2S3	0.333	-0.195	0.393	0.792	0.017	0.602	-0.729	0.831	0.633	-0.208	-0.29	-0.713	-0.89	-1.899	-0.334	-0.227	0.156	1.086	2.283	-0.537	0.385	0.033	-0.672	-0.506	0.72	-1.264	0.637	-0.293	1.727	1.084	0.578	-1.058	-1.934	-0.005	1.058	0.633	-1.414	0.865	-0.539	-0.678	1.718	-0.302	0.444	1.426	-0.862	-0.145	-0.747	-0.183	-0.228	-0.47		1.129	0.002	-0.603	-2.348	1.279	-0.6	-0.1	-0.007	1.541	1.648	1.362	-1.355	-1.396	-0.054	0.316	0.212	-0.18	-1.372	1.272	1.856	0.549	0.496	0.058	2.027	-0.01	-0.366	-2.165		-0.533	-2.472		1.506	-1.735
EIF3A	-0.645	0.127	-0.283	1.686	-0.607	-0.016	0.074	-0.424	-0.186	-0.085	1.998	-1.576	-0.32	0.087	0.549	-0.468	0.462	0.018	0.798	-0.403	-0.316	0.188	-0.166	-0.392	-0.178	-2.136	1.993	1.715	1.082	0.607	0.491	1.407	0.151	1.11	-1.402	-0.854	1.031	-1.282	-2.171	-0.824	-2.01	-1.666	0.307	3.254	1.993	-2.955	-0.544	0.73	0.88		0.283		-0.892	-0.843	0.54	0.81	1.462	1.457	0.59	0.89	0.703	0.597	-0.722	-0.244	-0.554		2.274	0.107	-0.326	1.646	0.318	0.791	0.442	1.393	0.131	-0.569	2.189	1.021	0.318	0.088	-0.067	0.594	0.759	-0.308
EIF3B			0.267	-1.561	-0.828	1.306	-0.573	1.819				-1.783	-0.185					0.017	1.357	-0.843				-1.775				-1.196	-0.041		1.286	0.264		-0.175	-1.085			-0.564		1.38	1.11	0.163		0.031	0.527	-1.016	-0.783	1.574						0.024	2.463	-0.85		-0.561	-0.244	-0.843			1.141		1.82		-0.088		-0.582		-0.298		0.959				0.251						0.913	-1.262
EIF3C	-0.703	0.141	-1.424	0.544	1.325	-0.424	0.061	-1.803	-0.42	-1.299	0.73	-2.34	-0.537	-0.978	1.217	-0.105	-0.653	-1.588	-1.379	2.328	0.963	2.102	-0.84	-2.84	0.51	-0.498	-0.895	1.294	-0.752	0.236	1.343	1.002	-1.209	1.013	-0.121	-0.323	-0.267	-2.216	-1.919	-0.378	0.444	0.55	-0.62	0.063	0.326	-0.467	-0.959	1.184	0.584	-0.479	0.636	0.57	0.627	0.289	0.1	2.919	-1.218	-0.044	-0.753	-1.222	-0.626	-0.537	-0.02	-1.466	-1.019	-0.207	-0.775	-1.557	-0.507	2.563	0.438	0.564	1.13	-0.874	1.62	0.847	-1.028	0.689	-0.06	0.404	0.569	0.955	-1.113	1.13
EIF3D	-0.176	0.725	-0.088	0.367	1.22	-0.905	-0.569	0.411	1.628	-1.024	1.495	-0.926	0.357	1.852	-2.19	-0.538	-0.932	0.028	0.868	-1.387	-0.89	-0.996	1.942	1.165	-0.43	-0.141	-0.072	-0.261	-0.462	0.657	0.454	-0.614	-0.916	-0.017	-0.514	0.885	-0.064	-0.384	-2.365	0.474	-0.85	-0.251	-0.456	-0.565	0.315	0.322	-0.761	-1.052	-1.163	2.098	-1.744	-0.968	-0.78	-0.605	1.304	0.989	1.458	1.094	-0.03	0.019	-0.798	0.36	1	-0.903	-0.586	-2.404	1.035	-1.523	1.06	0.549	0.576	-0.161	-0.858	0.541	-1.35	1.21	1.094	1.055	-0.465	-0.938	0.63	0.865	-0.285	0.105
EIF3E	-2.655	-0.931	0.826	-0.107	1.812	-0.835	0.145	-1.946	-0.095	-1.173	-0.744	1.268	0.563	-3.227	-0.567	0.471	0.427	-1.805	-0.336	-1.782	0.101	-0.77	0.002	1.535	0.818	0.664	-1.651	0.428	-0.337	0.894	-2.301	-1.372	-0.703	1.662	0.408	0.31	0.032	-0.253	-0.29	-2.753	-1.669	0.559	-0.9	-0.332	-1.316	-1.486	-1.628	0.662	1.114	-0.281	1.406	-0.084	1.033	-0.626	-0.119	0.186	-2.48	-0.011	0.422	-2.871	0	0.001	0.642	0.206	-0.82	0.2	1.203	-0.531	-1.231	1.06	1.022	-0.121	0.731	-1.746	0.25	-0.308	-0.616	-0.647	-0.15	-0.633	-1.576	0.504	1.249	-0.969
EIF3F	-0.14	1.435	0.068	1.485	2.167	0.099		0.274	-1.122	-1.245	1.588	-0.542		-0.228	0.615	0.898	1.07	0.548	0.039	-1.449	-1.157	1.87	1.245	-1.163	0.424	1.242	0.125	-2.23	-1.045	-1.536	0.2	-0.611	1.01	-0.272	0.239	1.051	-1.677	-0.153	2.107		-1.773	-0.561	1.701	1.6	-1.093	-0.348	-1.004		0.624	0.126	2.023	1.073	-0.773	0.471	0.722	1.356	0.888	0.591	-0.888		0.891	1.647		-0.147	0.15	-1.773	0.603	-0.602	0.201	-0.645	1.464	0.101	-0.087	-1.281	-0.06	-0.666	0.514	0.074	-1.627	-0.22	-0.097	-1.796	0.253	-0.478
EIF3G	0.898		0.881	-2.518		0.169		0.313	-0.492	-0.3	0.35		1.073	1.48	0.907	1.618	-0.628	-0.611	0.234	0.846		-1.272	-0.765	1.016		0.67	1.573		1.297	0.721	1.276		0.618	-0.798	-1.241			0.572	0.572	-0.4	-1.164	0.487	0.976	-0.116	-0.622	-0.275			0.96	-0.904	0.521	0.276	0.71	0.151	-0.284	0.916	-0.53	-0.374	-1.582		-1.464		-1.495		1.37	-0.099	0.747	-0.088	0.936	0.497	0.4	1.202	-0.847	-1.045	2.079	-0.603	0.167	-1.946	-1.571			-0.095	0.882	
EIF3H	1.918	-0.772	-2.007	0.668		0.99	1.834	-0.598	-0.544	-0.144			1.486	0.694	0.75	-0.183	-1.387	-2.523	-0.282	1.886	3.076	1.444	0.823	-1.601	-1.535	-1.131	0.097	-2.822	-0.705	-0.295	1.815	-2.244	-0.593	-1.208	-0.819	0.997	-0.234	1.362	0.3	-1.384	0.051	0.854	-0.516	1.04	0.64	2.473		-0.767	-1.029		1.431		-0.793	-2.003	0.648	0.181	-0.527	1.526	0.008	1.676		0.842	-2.447	1.11	-0.066		0.434	2.071	1.66		0.603	2.706	-1.207	0.416	-2.254	-0.685	-0.256	0.428	0.535	-0.398	-0.054	-1.394	-1.827	-0.908
EIF3I	1.149	-0.648	0.077	-0.927	-1.112	1.097	0.132	0.579	0.201	1.262	0.536	-0.194	-0.546	-0.077	-0.514	-0.684	-0.532	-1.374	-0.371	0.338	0.788	0.29	-1.248	-1.128	-0.168	-0.361	1.078	0.922	0.065	-0.362	-0.147	0.064	0.235	0.339	0.279	-0.692	-1.002	-0.216	0.879	-0.651	1.597	-0.66	-0.839	1.182	0.473	0.275	0.186	0.325	-0.881	1.138	0.344	0.944	0.589	2.313	-0.193	-0.293	-2.2	-1.115	0.761	-0.133	-1.472	0.23	-1.041	2.366	1.012	0.01	0.935	0.931	0.364	-0.625	-0.975	-1.879	0.283	0.393	2.372	-0.909	0.765	-1.195	1.701	-0.055	-0.328	1.664	-1.742	0.951
EIF3J				-0.349		1.438		-1.542		-0.898			1.562						1.674															1.708				-0.554		-0.574	0.862								0.177	-0.036		0.969		-0.05		-1.047		-0.131					0.259			-0.357			-1.343		-0.212		0.509				-2.702						0.712	
EIF3K	-0.491	0.487	0.472	0.389	1.438	1.041	-0.328	-0.097	0.594	-0.007	-1.003	0.746	-0.795	0.088	-0.643	0.221	-0.528	-0.743	-0.01	-1.358	0.882	-2.011	1.387	0.96	-1.305	-1.052	1.296	1.215	-0.26	2.612	1.309	1.221	-0.13	-0.042	0.428	0.121	1.091	-1.073	1.287	0.565	-0.188	0.144	-0.292	1.203	-0.884	0.792	-0.348	0.367	-0.309	0.023	0.821	2.711	1.073	0.85	-1.492	0.242	0.891	0.941	-0.151	1.078	0.256	0.121	0.579	1.158	0.602	-0.814	0.259	-1.087	0.615	-0.594	-1.021	-0.148	-0.698	-1.223	0.356	2.129	2.427	-0.596	-1.039	0.255	0.447	0.429	0.147	0.91
EIF3L	0.032	0.22	-0.699	-0.83	-0.873	-1.387	1.252	-1.266	-1.618	1.942	0.941	1.758	-0.846	0.307	0.054	0.95	-0.301	0.926	-1.024	0.28	-1.086	0.308	0.003	-0.137	-1.457	-0.085	-0.961	1.659	1.269	0.021	-0.216	-0.571	0.82	-0.033	-0.179	0.973	-0.401	0.144	1.677	0.721	2.191	1.23	0.349	-0.099	-0.695	0.51	0.16	0.472	0.581	0.68	-0.63	0.658	-0.253	1.411	1.139	0.346	1.286	-0.486	-0.973	-1.331	1.46	1.944	0.991	-1.066	0.736	0.41	-0.674	-1.329	0.467	0.803	0.788	2.03	1.583	0.424	0.773	-1.053	-2.049	-0.117	0.565	-0.372	-0.014	0.663	-0.111	0.115
EIF3M	0.499	0.176	0.942	0.568	-0.931	-1.612	0.65	0.239	0.358	0.835	-0.044	0.826	-0.386	-1.431	0.527	-0.581	0.006	1.057	0.993	-0.05	-0.682	-1.85	-0.159	0.486	0.515	0.288	-0.181	-1.209	-1.571	-0.711	-1.156	-0.72	0.077	1.233	1.617	-0.646	-0.325	0.868	0.335	1.538	-1.852	-1.814	-0.143	-1.466	-1.02	-0.77	-1.397	0.086	1.003	0.054	-0.172	1.735	-0.62	2.16	0.442	0.756	-1.591	-1.22	-0.075	1.059	-0.812	0.961	-1.764	-1.141	0.712	-0.306	0.513	0.488	0.005	-0.019	-1.264	0.816	1.34	-1.43	0.08	0.388	-1.066	0.82	0.358	0.173	0.113	-1.279	-0.983	-0.944
EIF4A1	2.576	-0.6	0.652	0.445	0.24	-1.46		-0.233	-0.607	0.182	-0.311	-0.846	-1.258		-0.693	-1.493	0.829	-0.831	-0.756	-1.291		1.053	-0.595	-0.471	0.829	-1.281		0.204	0.345		-0.875	1.68	0.599	-0.558	0.371	0.933	-0.165	1.178	1.351	0.072	1.093	2.038	1.243	2.263	-0.508	-1.456	0.311		-0.748	1.529		-0.733	-0.389	-0.006	0.561	-0.005	-0.8	0.781	0.064		-0.722		0.097	-1.177	0.917	-0.511	-0.314	2.172	-1.801	0.752	-0.564	-1.625	1.11	0.065	-0.582	1.005	-0.493	0.462		-0.928			1.561	2.255
EIF4A2	0.759	0.807	0.024	-1.602	-0.069	0.872				-0.883	0.276	-0.566	-0.831		1.885	1.046	-0.095	0.097		1.765		-1.559		-0.22	0.741	0.356							-0.971	-1.76	-0.451	-0.563	0.182		1.444	0.667	0.533	-0.812	-0.508		-1.319	0.615	0.429		-0.499	-0.539		1.833	0.458		-0.065		-0.697	2.855	-1.458		-0.046		-0.586	1.184	-0.597	1.298	-2.9		-0.384	-0.338		-1.309	-1.42	1.123	0.01	0.047	1.256	0.809		0.391			1.619	
EIF4A3	1.192	-0.941		-0.376		-1.041		-0.756		2.167			-1.07					-0.508							0.877								0.224			2.21	-0.185		-0.27	-1.479			-0.846		0.812				-0.471							0.709	-0.139						-1.083	-0.559	1.135				0.478		0.681	0.058	-0.892	0.784	1.123	-0.346	-0.315	1.802		-0.26			-0.14	
EIF4B	-1.36	-0.339	1.525	-1.167	-0.324	-1.049	-1.168	0.098	0.437	-0.304	-1.954	0.113	-0.718	1.952	2.023	-0.729	1.364	-1.542	-1.151	-0.435	-0.144	-1.044	-0.336	2.358	1.527	-0.19	-1.468	-1.321	0.237	-0.101	0.439	1.39	0.319	-0.293	1.885	-1.391	-1.601	-2.486	-2.283	-0.961	-0.149	-0.619	2.109	0.46	0.978	-1.381	-0.7	-0.372	0.135	1.359	-0.717	0.933	0.653	0.645	0.088	-0.367	0.335	-0.96	0.227	0.793	0.574	0.304	-1.879	-0.778	1.122	0.492	1.188	-1.236	0.229	1.358	0.743	-0.207	0.191	-0.477	-0.215	-0.928	-1.67	-1.38	0.303	-0.068	-0.067	-1.556	1.115	0.261
EIF4E		0.453		0.261		-2.005		0.638	0.072				0.743		0.992	-0.033	0.844	-0.707	1.034	2.138		-1.444	0.661	2.159		1.94		-2.373	-0.69		2.294	1.086		-0.467	-0.867			-0.203		0.866	2.323	-0.734		1.257	2.023								-0.955	0.332		-0.184		0.761	-0.585				0.548	-0.598	0.573		0.989	-1.603	1.226		0.851		-0.315				0.132			-0.578			-0.417	0.156
EIF4E2	1.028	-0.986	-0.864	1.219	-0.494	0.482	-0.037	-1.365	0.394	-0.394	0.114	-0.24	-0.789	-1.964	1.026	-0.09	0.562	-1.192	-0.894	-0.035	-1.854	1.111	-0.636	-2.017	0.395	0.323	-2.465	1.388	1.596	-0.423	-0.146	0.606	-1.327	-1.051	0.016	-3.061	1.113	1.061	2.121	-1.52	0.077	-0.89	0.198	-2.022	0.145	-0.011	-2.315	-1.419	-1.634	1.714	-0.727	-0.156	-1.981	1.832	-2.657	-0.017	-1.034	-2.744	0.058	-1.54	-1.899	1.082	-0.931	-1.576	0.365	1.075	-0.047	1.426	0.642	-0.989	-0.477	-2.779	-0.293	-2.413	-0.204	1.138	0.195	-0.35	-0.593	1.323	1.416	-2.179	-1.141	0.319
EIF4EBP2																				2.252				0.79					-1.416		-1.66								-1.204			-2.243	2.751	-0.181							0.156																					-1.24							1.188			-1.472		
EIF4ENIF1	0.094	0.65	0.132	1.292	0.887	-0.408	0.511	0.086	0.068	0.987	1.177	0.689	-0.102	-1.037	-1.662	-0.515	1.264	-2.531	-1.234	-0.41	0.454	-0.432	-1.175	2.198	0.051	2.068	-0.118		-0.029	0.332	1.396		0.357	1.449	1.361	1.445	-0.945	-0.098	0.24	-1.756	1.269	0.515	-0.331	0.198	-0.25	0.406	0.236	0.331	-0.933	1.116	2.16	-0.031	0.284	0.317	-0.979	0.022	0.703	-0.51	-0.126	0.829	0.051	-1.717	1.016	0.096	-1.414	2.452	1.992	-0.094	-1.525	0.926	0.717	-0.054	-2.2	0.359	1.135	1.964	-0.634	-1.294	-0.279	-0.552	1.459	-0.88	1.544	
